rtid,tid,from,to
1000000525276860417,999919766465691652,751946356089057281,1288175774
1000002010404487169,1000001938145140737,4387939992,2591161099
1000002129627525120,1000001938145140737,887274666515148800,2591161099
1000002131187806208,1000001938145140737,968831062091563014,2591161099
1000003244511375361,1000001938145140737,3245991251,2591161099
1000003429329059841,1000001938145140737,3229099220,2591161099
1000003560317349888,1000001938145140737,946779156775239681,2591161099
1000003657474031617,1000001938145140737,3321713156,2591161099
1000004179694415872,999889426242093056,2936599794,324049005
1000004182772871168,1000001938145140737,216698092,2591161099
1000004475937931264,1000001938145140737,1560637315,2591161099
1000005235136516096,999343203785551873,159848468,141496671
1000006510137696256,1000001938145140737,1536944052,2591161099
1000007626959310848,999937385919078400,1107049999,322064639
1000007745230143488,999535893126971392,575269024,2990611686
1000008542550716416,999715560148652032,924190663914094592,2526662419
1000009609585672192,999299260775575552,994508039334985729,130104041
1000010187271368705,1000001938145140737,946691221275029504,2591161099
1000010458600955904,999889426242093056,801376547672203264,324049005
1000012973518225408,999715560148652032,946779156775239681,2526662419
1000013810286120966,1000013137305743360,1415555797,382812503
1000015561416310786,1000015457707999233,1632799027,36327407
1000016028066168832,1000015457707999233,62204788,36327407
1000016136015147008,1000015457707999233,56083718,36327407
1000016395155816449,1000015957815787520,17755316,141170212
1000017033054961665,999535938077450240,2540731950,2990611686
1000017508856774658,999535938077450240,820900000691523585,2990611686
1000017893445300225,1000013137305743360,943827509916954624,382812503
1000018458459820032,1000015457707999233,287612356,36327407
1000019028675629056,1000015457707999233,924019179744780288,36327407
1000019102700843008,1000015457707999233,285974551,36327407
1000020308676366337,1000015457707999233,75231190,36327407
1000020811086905345,999889426242093056,3248451612,324049005
1000021007338389504,999919766465691652,992601332476395520,1288175774
1000021337199398912,1000001938145140737,187856966,2591161099
1000021977669734401,1000002004264071169,227873636,2361330150
1000022417354379264,999919766465691652,871000313918107648,1288175774
1000022711253467138,999676426847596544,3227289924,2683996789
1000022712922894337,999676395222519809,3227289924,2683996789
1000022761761161216,999171005288534016,901300936022163456,482203628
1000023590325006338,1000013137305743360,744177537790672896,382812503
1000024120002826240,1000015457707999233,900291149503410176,36327407
1000025056762826753,999889426242093056,64439665,324049005
1000025384291782656,1000013137305743360,997043488045776896,382812503
1000026131813183490,999916141651812353,3312285906,2427057066
1000026165451673601,1000015457707999233,84018963,36327407
1000027094636642305,999885272539189248,977197635231625216,486711396
1000028388109713408,999855505781686272,179430876,841609973687762944
1000029307371110400,999869373576830976,945342296819613696,2766064128
1000029669742161921,1000015457707999233,911803335518195712,36327407
1000029698288734208,999959488219271168,941646284250742784,2436753176
1000030001121579010,999706675866161153,941646284250742784,2436753176
1000032409851744257,1000032093366177792,948830434812600321,1578115976
1000032700684685318,999171761911590912,941646284250742784,1943733722
1000033102524104704,999322364360953857,1000031882761793536,397566887
1000033115639697410,999322261139181568,1000031882761793536,397566887
1000033295021654016,999889426242093056,3007498243,324049005
1000034300736233472,999889426242093056,139007121,324049005
1000034827788345349,999855505781686272,210287761,841609973687762944
1000035347839975424,999661358319796225,878483128804941825,3419800217
1000035505063460865,999304906052956160,878483128804941825,3419800217
1000035777269641216,999976125714518016,995733829259177984,1495411735
1000036378749685760,999299260775575552,901834716340301824,130104041
1000037823041306625,999868639749664768,946421613754441730,3191800021
1000037916989640704,1000032384329318401,986633817292263424,4346490554
1000038234540437504,999889426242093056,4832225493,324049005
1000039033307828224,999535938077450240,884456169124675584,2990611686
1000041210982141952,999889426242093056,837035727871434753,324049005
1000041349234671616,999889426242093056,117334686,324049005
1000041394214387712,1000015457707999233,170616732,36327407
1000042128381169665,999889426242093056,993396455468552193,324049005
1000044196596625409,1000026038234107904,470883463,43705720
1000045625600163840,999889426242093056,229463671,324049005
1000046274261889024,999189473811488768,2911862552,95588504
1000049426126295040,999304906052956160,2219053776,3419800217
1000049666296233984,999189473811488768,798603613991936000,95588504
1000049786601594881,999889426242093056,954316130188865537,324049005
1000049801776566272,1000049511052570626,926025206459719680,4391967072
1000050432171950080,999883096987123715,2864954756,2426088436
1000050620290781184,999855505781686272,2549584878,841609973687762944
1000052498579640320,1000049511052570626,501717029,4391967072
1000053179218722817,1000049511052570626,389445995,4391967072
1000053522904346624,999855505781686272,3457303452,841609973687762944
1000054286204612608,999189473811488768,845711171839766529,95588504
1000055595657932800,999889426242093056,2855216947,324049005
1000055658719232000,999535938077450240,1650305948,2990611686
1000055689488707584,999535893126971392,1650305948,2990611686
1000056103101661184,1000049511052570626,4674176420,4391967072
1000056557499965440,999661358319796225,960806425474707457,3419800217
1000056937369735168,999916141651812353,764153579330338816,2427057066
1000057114746871808,999927854149316608,764153579330338816,254937160
1000057318120280065,999630485797113856,288779167,841116259
1000057994330095616,999927854149316608,1464175106,254937160
1000058295111991296,999927854149316608,747311991283298310,254937160
1000058351714123776,999661358319796225,982128685300895744,3419800217
1000059857184198661,1000049511052570626,911216886897086465,4391967072
1000060041234395136,999927854149316608,968463970238517253,254937160
1000060350434283520,1000060285040889856,2998060314,2436708865
1000060735475466240,1000060285040889856,3306714386,2436708865
1000060793461735424,1000060285040889856,1324592748,2436708865
1000060908574396417,1000060285040889856,1570609722,2436708865
1000061200648978432,999959488219271168,964396749468020739,2436753176
1000061477326278656,999706675866161153,964396749468020739,2436753176
1000063304348323840,1000060285040889856,955047000495374336,2436708865
1000063347121799168,1000060285040889856,323231624,2436708865
1000063694770851840,1000060285040889856,359378002,2436708865
1000065848999104512,1000013137305743360,999342565806624768,382812503
1000067655875809280,1000060285040889856,868503292778881025,2436708865
1000069294565228544,1000015457707999233,16977059,36327407
1000069785609093120,999919766465691652,3249372186,1288175774
1000069992837144582,1000066286691504128,815421568016904193,2526662419
1000070229974597632,1000015457707999233,203172604,36327407
1000070556950192128,1000060285040889856,991210303848435712,2436708865
1000070775028805632,1000066286691504128,2360684030,2526662419
1000070977257164801,999715634530390016,2360684030,2526662419
1000071473372024834,999163943112261632,1341803388,459849561
1000072238140346369,999924309039579136,140929604,433540847
1000072751166705665,999322364360953857,989706994281050112,397566887
1000073253186977792,1000060285040889856,2417343961,2436708865
1000073479901753344,999715634530390016,995895483389304832,2526662419
1000077077649932288,1000060285040889856,147090389,2436708865
1000079141641773056,999329621085650944,3595030752,296612629
1000082496854216704,999919766465691652,800185431551680512,1288175774
1000085797100437504,1000060285040889856,2554193125,2436708865
1000086748683059200,999676426847596544,251666641,2683996789
